fips,year,cbsa,cbsa_ind,comn_mentl_hlth_ctr,critcl_access_hosp,disab_with,disab_without,do_nf_activ,do_nf_prim_care_pc_excl_rsdnt,econ_depndnt_typolgy,fedly_qualfd_hlth_ctr,hi_povty_typolgy,hosp_adm,hosp_beds,hpsa_dent,hpsa_mentl_hlth,hpsa_prim_care,land_area_mi2,md_nf_activ,md_nf_fammed_gen_all_pc,md_nf_pc_hosp_all,md_nf_prim_care_pc_excl_rsdnt,medcr_ffs_hosp_readm_rate,nhsc_sites,nurs_fac,nurs_fac_beds,pct_uninsured_under65,per_cap_persnl_incom,pers_25plus,pers_25plus_4yr_coll,persons_in_poverty,phys_nf_prim_care_pc_exc_rsdt,pop_65plus_x,popn_densty_per_squr_mi,popn_est,popn_loss_typolgy,prstnt_povty_typolgy,recrtn_typolgy,rural_hlth_clincs,rural_urban_contnm,stgh,urban_influnc,vetn_popn_est,pop_total,pop_65plus_y,pct_65plus,pop_25_54,pct_25_54,median_hh_income,median_gross_rent,median_home_value,unemployment_rate,lfp_rate,pct_bachelors_plus,pct_uninsured,pct_commute_30plus,mean_commute_minutes,rent_burden_pct,own_burden_pct,pct_disability,poverty_rate,pct_white,pct_black,pct_asian,pct_hispanic,ipeds_completions_cna,ipeds_completions_lpn,ipeds_completions_other_nursing,ipeds_completions_rn,ipeds_completions_total,nh_beds_total,magnet_hospital_present,init_nursing_emp_share,nat_rn_wage,nat_lpn_wage,bartik_iv,bartik_iv_lpn,rn_pums_wage,lpn_pums_wage,rn_licensed_county,rn_age_under35_pct,rn_age_55plus_pct,lpn_licensed_county,lpn_age_under35_pct,lpn_age_55plus_pct,nurse_total_count,rn_per_100k,lpn_per_100k,nurse_total_per_100k
26001,2010,,,0.0,0.0,1035.0,4599.0,2.0,2.0,,3.0,,0.0,0.0,2.0,1.0,1.0,674.59,5.0,4.0,0.0,4.0,,,62.0,0.0,,28050.0,8665.0,1166.0,1777.0,6.0,,16.2,,,,,0.0,,0.0,,1675.0,11238,3352,29.83,3486,31.02,34858,545,119300,,,12.37,,30.45,,42.57,29.49,,14.63,97.86,0.22,0.12,0.93,,,,,,78.0,,0.0,,41360.0,,0.0,,,,,,,,,,,,
26001,2011,,,0.0,0.0,1014.0,4488.0,1.0,1.0,,3.0,,0.0,0.0,2.0,1.0,1.0,,5.0,1.0,0.0,4.0,,,2.0,0.0,,29419.0,8594.0,1226.0,1914.0,5.0,3496.0,,10800.0,,,,0.0,,0.0,,1749.0,11102,3421,30.81,3399,30.62,35490,582,114700,15.48,37.07,12.81,,29.99,,46.15,29.49,,15.3,97.89,0.4,0.24,1.04,,,,,,78.0,,0.0,,42040.0,,0.0,,,,,,,,,,,,
26001,2012,,,0.0,0.0,1065.0,4371.0,1.0,1.0,,4.0,,0.0,0.0,2.0,1.0,2.0,,4.0,1.0,0.0,4.0,,,2.0,0.0,,30732.0,8552.0,1236.0,1677.0,5.0,3561.0,,10635.0,,,,0.0,,0.0,,1708.0,10943,3470,31.71,3294,30.1,36931,583,110200,14.58,36.16,13.15,12.53,29.95,20.09,45.11,28.04,18.8,15.13,97.95,0.16,0.32,1.15,,,,,,78.0,,0.0,67930.0,42400.0,0.0,0.0,27.28,13.13,,,,,,,,,,
26001,2013,,0.0,0.0,0.0,1064.0,4304.0,1.0,1.0,,4.0,,0.0,0.0,2.0,1.0,2.0,,4.0,4.0,0.0,4.0,,1.0,2.0,0.0,,31399.0,8510.0,1291.0,1709.0,5.0,3619.0,,10578.0,,,,0.0,9.0,0.0,10.0,1666.0,10785,3507,32.52,3148,29.19,37189,585,102800,14.47,35.74,13.03,12.48,29.12,,42.74,26.24,18.63,15.15,97.77,0.12,0.3,1.23,,,,,,78.0,,0.0,68910.0,42910.0,0.0,0.0,29.11,13.99,,,,,,,,,,
26001,2014,,,0.0,0.0,1048.0,4257.0,1.0,1.0,,4.0,0.0,0.0,0.0,,,,,4.0,4.0,0.0,4.0,,0.0,2.0,0.0,,32646.0,8505.0,1334.0,1803.0,5.0,3633.0,,10454.0,,0.0,,0.0,,0.0,,1578.0,10657,3538,33.2,3054,28.66,38019,623,95800,13.22,35.62,13.46,11.57,30.43,,37.37,26.21,18.37,15.7,97.54,0.2,0.34,1.31,,,,,,78.0,,0.0,69790.0,43420.0,0.0,0.0,32.49,13.87,,,,,,,,,,
26001,2015,,0.0,0.0,,978.0,4292.0,1.0,1.0,5.0,4.0,,0.0,0.0,2.0,1.0,2.0,,5.0,4.0,0.0,5.0,,2.0,2.0,0.0,,34281.0,8514.0,1443.0,1610.0,6.0,3655.0,,10349.0,0.0,,1.0,0.0,,0.0,,1547.0,10550,3580,33.93,2946,27.92,38033,609,97500,12.2,35.5,14.27,10.51,31.08,,34.37,25.24,18.43,15.17,97.54,0.27,0.36,1.36,,,,,,78.0,,0.0,71000.0,44030.0,0.0,0.0,22.53,19.02,,,,,,,,,,
26001,2016,,,0.0,0.0,961.0,4311.0,1.0,1.0,,4.0,,0.0,0.0,2.0,1.0,2.0,,4.0,3.0,0.0,4.0,,2.0,2.0,0.0,,34950.0,8580.0,1580.0,1657.0,5.0,3665.0,,10352.0,,,,0.0,,0.0,,1509.0,10461,3606,34.47,2867,27.41,38160,592,97500,10.3,35.43,14.45,8.84,32.85,,28.47,25.63,19.59,14.93,97.35,0.25,0.41,1.39,,,,,,78.0,,0.0,72180.0,44840.0,0.0,0.0,21.34,8.28,,,,,,,,,,
26001,2017,,0.0,0.0,0.0,,,1.0,1.0,,4.0,,0.0,0.0,2.0,1.0,2.0,,5.0,4.0,0.0,5.0,,2.0,2.0,0.0,,36474.0,,,1488.0,6.0,3715.0,,10351.0,,,,0.0,,0.0,,1470.0,10413,3652,35.07,2791,26.8,39424,601,96000,9.32,35.6,15.17,8.35,34.78,,32.31,23.75,19.82,14.87,97.18,0.32,0.42,1.41,,,,,,78.0,,0.0,73550.0,45710.0,0.0,0.0,25.28,12.64,,,,,,,,,,
26001,2018,,0.0,0.0,0.0,,,1.0,1.0,,4.0,,0.0,0.0,2.0,1.0,2.0,,5.0,4.0,0.0,5.0,,3.0,2.0,0.0,,38375.0,,,1995.0,6.0,3713.0,,10362.0,,,,0.0,,0.0,,1427.0,10364,3681,35.52,2757,26.6,39735,661,99800,8.94,35.77,15.68,5.79,34.94,,36.72,22.56,19.75,15.97,96.95,0.39,0.28,1.44,,,,,,78.0,,0.0,75510.0,47050.0,0.0,0.0,30.39,15.2,,,,,,,,,,
26001,2019,,,0.0,0.0,,,1.0,1.0,,4.0,,0.0,0.0,2.0,1.0,2.0,,5.0,4.0,0.0,5.0,,2.0,2.0,0.0,9.7,41049.0,,,1846.0,6.0,3761.0,,10405.0,,,,0.0,,0.0,,1392.0,10353,3711,35.84,2723,26.3,40484,627,112000,7.61,35.05,16.95,4.63,35.86,,38.71,22.37,18.56,17.02,96.86,0.4,0.19,1.5,,,,,,78.0,,0.0,77460.0,48500.0,0.0,0.0,33.67,20.71,,,,,,,,,,
