fips,county_name,year,pop_total,pop_65plus,pop_25_54,pct_25_54,median_hh_income,median_gross_rent,median_home_value,unemployment_rate,lfp_rate,pct_commute_30plus,mean_commute_minutes,rent_burden_pct,own_burden_pct,poverty_rate,pct_white,pct_black,pct_asian,pct_hispanic,chr_premature_death_rate,chr_preventable_hosp_rate,chr_pct_fair_poor_health,chr_pct_low_birthweight,chr_pcp_rate,chr_dentist_rate,chr_pct_uninsured,chr_pct_adult_smoking,chr_pct_adult_obesity,chr_avg_mental_unhealthy_days,chr_pct_children_in_poverty,ipeds_completions_cna,ipeds_completions_lpn,ipeds_completions_other_nursing,ipeds_completions_rn,ipeds_completions_total,comn_mentl_hlth_ctr,critcl_access_hosp,do_nf_activ,fedly_qualfd_hlth_ctr,hosp,hosp_adm,hosp_beds,md_nf_activ,md_nf_all_med_spec_all_pc,md_nf_all_oth_spec_all_pc,md_nf_all_surg_spec_all_pc,md_nf_fammed_gen_all_pc,md_nf_fed_activ,md_nf_pc_hosp_all,md_nf_pc_ofc,medcr_ffs_eligbl_medcd_pct,medcr_ffs_hosp_readm_rate,medcr_ffs_prev_hosp_rate,nhsc_fte_provdrs,nhsc_sites,nurs_fac,nurs_fac_beds,per_cap_persnl_incom,phys_nf_prim_care_pc_exc_rsdt,phys_nf_prim_care_pc_rsdnt,popn_est,rural_hlth_clincs,stgh,stgh_aprn_ft,stgh_aprn_pa,stgh_fte_lpnlvn_incl_nh,stgh_nursng_asst_ft_incl_nh,vetn_popn_est,rural_urban_contnm,urban_influnc,cbsa,cbsa_name,cbsa_ind,econ_depndnt_typolgy,mfg_depndnt_typolgy,recrtn_typolgy,hi_povty_typolgy,prstnt_povty_typolgy,popn_loss_typolgy,retrmnt_destntn_typolgy,hpsa_prim_care,hpsa_dent,hpsa_mentl_hlth,popn_densty_per_squr_mi,land_area_mi2,rn_licensed_county,rn_age_under35_pct,rn_age_55plus_pct,lpn_licensed_county,lpn_age_under35_pct,lpn_age_55plus_pct,nurse_total_count,rn_per_100k,lpn_per_100k,nurse_total_per_100k,rn_tot_emp,rn_h_median,rn_a_median,rn_h_mean,rn_a_mean,lpn_tot_emp,lpn_h_median,lpn_a_median,lpn_h_mean,lpn_a_mean,has_medicare_hospital,operating_margin_wmean,overhead_ratio_wmean,net_income_per_bed_wmean,total_beds,n_hospitals,single_hospital_county,has_med_hosp_x_overhead,share_65plus,uninsured_rate,disability_rate,rn_pums_wage,ipeds_rn_per_10k_lag1,lpn_pums_wage,ipeds_lpn_per_10k_lag1,hosp_beds_per_1k,nh_beds_per_65plus_cms,magnet_hospital_present,bachelors_plus_share,bartik_iv,bartik_iv_lpn,nh_beds_per_65plus_ahrf,hosp_beds_per_1k_ahrf_lag5,nh_beds_per_65plus_ahrf_lag5,rn_postings,rn_post_wage_annual,rn_post_wage_hourly,lpn_postings,lpn_post_wage_annual,lpn_post_wage_hourly,rn_postings_per_10k,lpn_postings_per_10k,log_rn_postings,log_lpn_postings
26001,Alcona,2010,11238,3352.0,3486,31.02,34858,545,119300,,,30.45,24.48,42.57,20.52,14.63,97.86,0.22,0.12,0.93,9357.4,,13.7,9.65,,,,,28.4,3.93,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,5.0,0.0,4.0,16.76,15.79,1939.0,0.75,1.0,0.0,0.0,50791.0,6.0,0.0,10624.0,0.0,0.0,0.0,0.0,0.0,0.0,1162.0,9.0,10.0,,,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,15.1,674.66,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.0,29.83,,18.37,,,,,,23.27,0.0,12.37,,0.0,0.0,,,3.0,,,0.0,,,2.6695141484249865,0.0,1.3862943611198906,0.0
26001,Alcona,2011,11102,3421.0,3399,30.62,35490,582,114700,15.48,37.07,29.99,24.03,46.15,20.89,15.3,97.89,0.4,0.24,1.04,,,14.8,9.39,,,,,29.3,4.5,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,5.0,,,,,,0.0,4.0,16.76,15.79,1939.0,0.75,1.0,0.0,0.0,50791.0,5.0,0.0,10624.0,0.0,0.0,0.0,0.0,0.0,0.0,1162.0,9.0,10.0,,,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,15.1,674.66,,,,,,,,,,,,,,,,1810.0,18.47,38420.0,18.6,38700.0,0,,,,,,,0.0,31.68,,18.43,,,,,0.0,22.8,0.0,12.81,,0.0,0.0,,,1.0,,,0.0,,,0.9007386056566384,0.0,0.6931471805599453,0.0
26001,Alcona,2012,10943,3470.0,3294,30.1,36931,583,110200,14.58,36.16,29.95,23.46,45.11,19.88,15.13,97.95,0.16,0.32,1.15,,,16.0,10.5,,,16.4,,30.2,5.0,32.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,,,,,,0.0,4.0,16.76,15.79,1939.0,0.75,1.0,0.0,0.0,50791.0,5.0,0.0,10624.0,0.0,0.0,0.0,0.0,0.0,0.0,1162.0,9.0,10.0,,,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,15.1,674.66,99.0,5.1,44.5,48.0,16.7,37.5,147.0,904.688,438.637,1343.324,4780.0,27.61,57430.0,27.66,57520.0,2010.0,18.92,39360.0,19.0,39520.0,0,,,,,,,0.0,32.63,12.53,18.8,27.28,0.0,13.13,0.0,0.0,22.48,0.0,13.15,0.0,0.0,0.0,,,4.0,,,0.0,,,3.655304761034451,0.0,1.6094379124341005,0.0
26001,Alcona,2013,10785,3507.0,3148,29.19,37189,585,102800,14.47,35.74,29.12,23.43,42.74,19.05,15.15,97.77,0.12,0.3,1.23,,,17.3,8.0,,,18.0,,30.2,,32.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,,,,,,0.0,4.0,16.76,15.79,1939.0,0.75,1.0,0.0,0.0,50791.0,5.0,0.0,10624.0,0.0,0.0,0.0,0.0,0.0,0.0,1162.0,9.0,10.0,,,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,15.1,674.66,99.0,6.1,45.5,43.0,14.0,30.3,142.0,917.942,398.702,1316.643,4570.0,28.53,59340.0,28.56,59400.0,1580.0,19.94,41470.0,19.66,40890.0,0,,,,,,,0.0,33.15,12.48,18.63,29.11,0.0,13.99,0.0,0.0,22.24,0.0,13.03,0.0,0.0,0.0,,,5.0,58240.0,28.0,0.0,,,4.6360686138154845,0.0,1.791759469228055,0.0
26001,Alcona,2014,10657,3538.0,3054,28.66,38019,623,95800,13.22,35.62,30.43,23.83,37.37,18.53,15.7,97.54,0.2,0.34,1.31,,,12.8,7.3,46.2963,,18.079715108,29.5,30.1,,30.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,,,,,,0.0,4.0,16.76,15.79,1939.0,0.75,1.0,0.0,0.0,50791.0,5.0,0.0,10624.0,0.0,0.0,0.0,0.0,0.0,0.0,1162.0,9.0,10.0,,,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,15.1,674.66,99.0,8.1,51.5,44.0,22.7,40.9,143.0,928.967,412.874,1341.841,4570.0,29.23,60800.0,29.3,60940.0,1340.0,20.07,41750.0,19.85,41290.0,0,,,,,,,0.0,33.84,11.57,18.37,32.49,0.0,13.87,0.0,0.0,22.05,0.0,13.46,0.0,0.0,0.0,,,9.0,,,5.0,,,8.445153420287134,4.691751900159519,2.302585092994046,1.791759469228055
26001,Alcona,2015,10550,3580.0,2946,27.92,38033,609,97500,12.2,35.5,31.08,23.95,34.37,17.6,15.17,97.54,0.27,0.36,1.36,9313.33,37.93,12.8,7.3275862069,47.01457,9.45358,17.086993483,29.5,31.0,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,5.0,0.0,5.0,16.76,15.79,1939.0,0.75,1.0,0.0,0.0,50791.0,6.0,0.0,10624.0,0.0,0.0,0.0,0.0,0.0,0.0,1162.0,9.0,10.0,,,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,15.1,674.66,96.0,7.3,56.2,37.0,18.9,51.3,133.0,909.953,350.711,1260.664,,29.67,61720.0,29.63,61630.0,1020.0,20.71,43070.0,20.51,42660.0,0,,,,,,,0.0,34.59,10.51,18.43,22.53,0.0,19.02,0.0,0.0,21.79,0.0,14.27,0.0,0.0,0.0,,0.0,21.0,,,6.0,,,19.90521327014218,5.687203791469194,3.091042453358316,1.9459101490553132
26001,Alcona,2016,10461,3606.0,2867,27.41,38160,592,97500,10.3,35.43,32.85,24.77,28.47,18.06,14.93,97.35,0.25,0.41,1.39,7468.9,36.22,13.0,6.6210045662,47.26791,9.56572,18.565035369,15.9,30.7,3.7,30.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,,,,,,0.0,4.0,16.76,15.79,1939.0,0.75,1.0,0.0,0.0,50791.0,5.0,0.0,10624.0,0.0,0.0,0.0,0.0,0.0,0.0,1162.0,9.0,10.0,,,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,15.1,674.66,92.0,7.6,55.4,37.0,18.9,48.6,129.0,879.457,353.695,1233.152,4090.0,29.73,61840.0,30.11,62630.0,1160.0,21.14,43970.0,20.95,43580.0,0,,,,,,,0.0,34.83,8.84,19.59,21.34,0.0,8.28,0.0,0.0,21.63,0.0,14.45,0.0,0.0,0.0,0.0,0.0,38.0,,,4.0,,,36.32539910142434,3.8237262212025622,3.6635616461296463,1.6094379124341005
26001,Alcona,2017,10413,3652.0,2791,26.8,39424,601,96000,9.32,35.6,34.78,25.48,32.31,16.31,14.87,97.18,0.32,0.42,1.41,7631.7,34.65,13.336472424,6.2780269058,47.82858,9.66277,13.361878045,15.975670261,31.1,3.6674377564,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,5.0,,,,,,0.0,5.0,16.76,15.79,1939.0,0.75,1.0,0.0,0.0,50791.0,6.0,0.0,10624.0,0.0,0.0,0.0,0.0,0.0,0.0,1162.0,9.0,10.0,,,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,15.1,674.66,95.0,6.3,54.6,37.0,14.3,51.4,132.0,912.321,355.325,1267.646,3930.0,31.01,64510.0,31.23,64960.0,960.0,21.63,44990.0,21.4,44520.0,0,,,,,,,0.0,35.28,8.35,19.82,25.28,0.0,12.64,0.0,0.0,21.36,0.0,15.17,0.0,0.0,0.0,0.0,0.0,7.0,,,9.0,,,6.722366272928071,8.64304235090752,2.0794415416798357,2.302585092994046
26001,Alcona,2018,10364,3713.0,2757,26.6,39735,661,99800,8.94,35.77,34.94,,36.72,22.56,15.97,96.95,0.39,0.28,1.44,7551.1788015,41.25,15.56915399,6.3829787234,57.97662,9.65997,9.3279083785,16.495394315,31.8,4.2375579388,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,5.0,,,,4.0,,0.0,5.0,16.76,15.79,1939.0,0.75,3.0,2.0,0.0,38375.0,6.0,0.0,10362.0,0.0,0.0,0.0,0.0,0.0,0.0,1427.0,9.0,10.0,,,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,15.1,674.66,,,,,,,,,,,3670.0,32.05,66660.0,31.83,66210.0,960.0,22.03,45820.0,21.66,45060.0,0,,,,,,,0.0,35.52,5.79,19.75,30.39,0.0,15.2,0.0,0.0,,0.0,15.68,0.0,0.0,0.0,0.0,0.0,16.0,,,3.0,,,15.43805480509456,2.8946352759552294,2.833213344056216,1.3862943611198906
26001,Alcona,2019,10353,3711.0,2723,26.3,40484,627,112000,7.61,35.05,35.86,26.83,38.71,14.18,17.02,96.86,0.4,0.19,1.5,10747.181609,3196.0,15.56915399,7.6009501188,48.29985,9.6609,8.5186866394,16.495394315,32.8,4.2375579388,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,5.0,,,,,,0.0,5.0,16.76,15.79,2817.0,0.75,1.0,0.0,0.0,50791.0,6.0,0.0,10624.0,0.0,0.0,0.0,0.0,0.0,0.0,1162.0,9.0,10.0,,,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,15.1,674.66,109.0,11.9,53.2,44.0,11.36,61.36,153.0,1052.835,424.998,1477.833,3590.0,32.87,68370.0,32.15,66880.0,870.0,22.49,46780.0,22.32,46430.0,0,,,,,,,0.0,35.67,4.63,18.56,33.67,0.0,20.71,0.0,0.0,21.02,0.0,16.95,0.0,0.0,0.0,0.0,0.0,6.0,,,0.0,,,5.795421616922631,0.0,1.9459101490553132,0.0
