mechanism,occupation,outcome,headline_term,variable,coef,se,p,sig,N,counties,within_r2
Baseline distribution,RN,rn_per_100k,Lagged RN training output,ipeds_rn_per_10k_lag1,0.366,1.345,0.7856,,913,83,0.057
Baseline distribution,LPN,lpn_per_100k,Lagged LPN training output,ipeds_lpn_per_10k_lag1,4.198,0.669,0.0,***,911,83,0.108
Vacancy pressure,RN,rn_postings_per_10k,Lagged RN supply,rn_per_100k_lag1,-0.011,0.008,0.1654,,828,83,0.037
Vacancy pressure,LPN,lpn_postings_per_10k,Lagged LPN supply,lpn_per_100k_lag1,-0.003,0.006,0.6493,,826,83,0.021
Training capacity,RN,rn_per_100k,Lagged RN training output,ipeds_rn_per_10k_lag1,-0.124,0.455,0.7854,,664,83,0.717
Training capacity,LPN,lpn_per_100k,Lagged LPN training output,ipeds_lpn_per_10k_lag1,2.58,1.054,0.0147,**,662,83,0.262
Retention pressure,RN,rn_per_100k,Lagged share RN aged 55+,rn_age_55plus_pct_lag1,0.654,0.964,0.4978,,664,83,0.699
Retention pressure,LPN,lpn_per_100k,Lagged share LPN aged 55+,lpn_age_55plus_pct_lag1,-0.174,0.229,0.4468,,662,83,0.247
Employer capacity,RN,rn_per_100k,Hospital operating margin,operating_margin_wmean,-4.42,2.933,0.1325,,541,73,0.748
Employer capacity,LPN,lpn_per_100k,Hospital operating margin,operating_margin_wmean,-1.967,2.004,0.3267,,540,73,0.197
