label,outcome,fe,variable,coef,se,t,p,n,within_r2,counties,years,year_list,covariance
Baseline RN supply,rn_per_10k,county+year,share_75plus,5.7722,1.8278,3.1581,0.0016,913,0.0883,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
Baseline RN supply,rn_per_10k,county+year,share_65_74,-1.1834,2.0581,-0.575,0.5655,913,0.0883,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
Baseline RN supply,rn_per_10k,county+year,population_growth_rate,-7.8096,38.4713,-0.203,0.8392,913,0.0883,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
Baseline RN supply,rn_per_10k,county+year,hosp_beds_per_1k,-1.0884,0.8408,-1.2945,0.1959,913,0.0883,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
Baseline RN supply,rn_per_10k,county+year,nh_beds_per_65plus_ahrf,0.4489,1.0429,0.4305,0.667,913,0.0883,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
Baseline RN supply,rn_per_10k,county+year,poverty_rate,0.6869,0.4877,1.4084,0.1594,913,0.0883,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
Baseline RN supply,rn_per_10k,county+year,bachelors_plus_share,0.8929,0.6729,1.3269,0.1849,913,0.0883,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
Baseline RN supply,rn_per_10k,county+year,ipeds_rn_per_10k_lag1,0.0235,0.119,0.1979,0.8432,913,0.0883,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
Baseline LPN supply,lpn_per_10k,county+year,share_75plus,1.0177,1.2974,0.7844,0.433,911,0.1635,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
Baseline LPN supply,lpn_per_10k,county+year,share_65_74,-1.8789,0.9659,-1.9453,0.0521,911,0.1635,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
Baseline LPN supply,lpn_per_10k,county+year,population_growth_rate,-49.1287,13.5451,-3.6271,0.0003,911,0.1635,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
Baseline LPN supply,lpn_per_10k,county+year,hosp_beds_per_1k,-2.5372,0.4368,-5.8087,0.0,911,0.1635,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
Baseline LPN supply,lpn_per_10k,county+year,nh_beds_per_65plus_ahrf,-3.4744,0.5165,-6.7263,0.0,911,0.1635,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
Baseline LPN supply,lpn_per_10k,county+year,poverty_rate,0.0733,0.2613,0.2804,0.7792,911,0.1635,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
Baseline LPN supply,lpn_per_10k,county+year,bachelors_plus_share,0.7863,0.3156,2.4913,0.0129,911,0.1635,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
Baseline LPN supply,lpn_per_10k,county+year,ipeds_lpn_per_10k_lag1,0.416,0.0554,7.5069,0.0,911,0.1635,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [rn_per_10k] - TWFE,rn_per_10k,county+year,share_75plus,5.7722,1.8278,3.1581,0.0016,913,0.0883,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
