label,outcome,n,counties,years,within_r2
Baseline RN supply,rn_per_10k,913,83,11,0.0883
Baseline LPN supply,lpn_per_10k,911,83,11,0.1635
No-FE compare [rn_per_10k] - TWFE,rn_per_10k,913,83,11,0.0883
No-FE compare [rn_per_10k] - pooled OLS,rn_per_10k,913,83,11,0.5196
No-FE compare [lpn_per_10k] - TWFE,lpn_per_10k,911,83,11,0.1635
No-FE compare [lpn_per_10k] - pooled OLS,lpn_per_10k,911,83,11,0.4655
Vacancy pressure - RN postings,rn_postings_per_10k,828,83,10,0.0429
Vacancy pressure - LPN postings,lpn_postings_per_10k,826,83,10,0.0162
Vacancy pressure - log RN postings (robustness),log_rn_postings,830,83,10,0.0159
Vacancy pressure - log LPN postings (robustness),log_lpn_postings,828,83,10,0.0268
No-FE compare [rn_postings_per_10k] - TWFE,rn_postings_per_10k,828,83,10,0.0429
No-FE compare [rn_postings_per_10k] - pooled OLS,rn_postings_per_10k,828,83,10,0.3265
No-FE compare [lpn_postings_per_10k] - TWFE,lpn_postings_per_10k,826,83,10,0.0162
No-FE compare [lpn_postings_per_10k] - pooled OLS,lpn_postings_per_10k,826,83,10,0.1175
Training capacity - RN supply,rn_per_10k,664,83,8,0.7214
Training capacity - LPN supply,lpn_per_10k,662,83,8,0.2835
No-FE compare [rn_per_10k] - TWFE,rn_per_10k,664,83,8,0.7214
No-FE compare [rn_per_10k] - pooled OLS,rn_per_10k,664,83,8,0.9756
No-FE compare [lpn_per_10k] - TWFE,lpn_per_10k,662,83,8,0.2835
No-FE compare [lpn_per_10k] - pooled OLS,lpn_per_10k,662,83,8,0.8701
"Wild-cluster bootstrap - LPN training pipeline (CGM Rademacher, null imposed, B=999)",lpn_per_10k,911,83,11,
Training capacity - LPN count (common-denominator robustness),log_lpn_count,745,83,9,0.1319
LPN training - All 83,lpn_per_10k,662,83,8,0.2835
LPN training - MSA only (51),lpn_per_10k,406,51,8,0.1923
LPN training - Metro only (30),lpn_per_10k,239,30,8,0.0714
LPN training - Rural only (32),lpn_per_10k,256,32,8,0.4011
RN training - All 83,rn_per_10k,664,83,8,0.7214
RN training - MSA only (51),rn_per_10k,408,51,8,0.7817
RN training - Metro only (30),rn_per_10k,240,30,8,0.8431
RN training - Rural only (32),rn_per_10k,256,32,8,0.6175
LPN training x rural interaction,lpn_per_10k,662,83,8,0.2978
Reverse-Granger: past LPN supply -> current LPN completions,ipeds_lpn_per_10k,661,83,8,0.2787
Forward (headline): past LPN completions -> current LPN supply,lpn_per_10k,662,83,8,0.2835
LPN pipeline - lag 1 (baseline),lpn_per_10k,911,83,11,0.1635
LPN pipeline - lag 2 (baseline),lpn_per_10k,911,83,11,0.1508
LPN pipeline - lag 1 (training spec),lpn_per_10k,662,83,8,0.2835
LPN pipeline - lag 2 (training spec),lpn_per_10k,662,83,8,0.2829
Pre-trends: LPN training leads and lags (baseline controls),lpn_per_10k,745,83,9,0.1339
Retention pressure - RN supply,rn_per_10k,664,83,8,0.7229
Retention pressure - LPN supply,lpn_per_10k,662,83,8,0.2877
Retention pressure - RN postings,rn_postings_per_10k,745,83,9,0.0326
Retention pressure - LPN postings,lpn_postings_per_10k,744,83,9,0.0267
"Retention (secondary, lean) - RN supply + PT share",rn_per_10k,212,71,3,0.3487
NP substitution: RN supply persistence x NP density,rn_per_10k,664,83,8,0.6875
NP substitution: aging demand (share_75plus) x NP density,rn_per_10k,664,83,8,0.7267
Employer capacity - RN supply,rn_per_10k,541,73,9,0.773
Employer capacity - LPN supply,lpn_per_10k,540,73,9,0.2445
Employer capacity - RN [drop thin years 2012/2017],rn_per_10k,505,73,8,0.8014
Employer capacity - LPN [drop thin years 2012/2017],lpn_per_10k,504,73,8,0.244
Employer capacity - RN [drop margin < -1],rn_per_10k,531,73,9,0.7765
Employer capacity - LPN [drop margin < -1],lpn_per_10k,530,73,9,0.2422
Wage competition - RN supply (non-border sample),rn_per_10k,360,60,6,0.5633
Wage competition - RN postings (non-border sample),rn_postings_per_10k,418,60,7,0.0611
A1 restricted - RN [share_65plus],rn_per_10k,913,83,11,0.0484
A1 restricted - LPN [share_65plus],lpn_per_10k,911,83,11,0.148
A1 baseline - RN [decomposed],rn_per_10k,913,83,11,0.0883
A1 baseline - LPN [decomposed],lpn_per_10k,911,83,11,0.1635
Appendix A1b - Baseline RN [per 65+],rn_per_10k_65,913,83,11,0.0515
Appendix A1b - Baseline LPN [per 65+],lpn_per_10k_65,911,83,11,0.0925
Appendix - RN wage Bartik first stage (diagnostic),rn_pums_wage,747,83,9,-0.0072
Appendix - LPN wage Bartik first stage (diagnostic),lpn_pums_wage,730,83,9,0.0165
