outcome,variable,twfe_coef,twfe_se,twfe_p,pooled_coef,pooled_se,pooled_p
rn_per_10k,share_75plus,5.7722,1.8278,0.0016,4.0625,1.9401,0.0365
rn_per_10k,share_65_74,-1.1834,2.0581,0.5655,-2.1214,1.3574,0.1184
rn_per_10k,population_growth_rate,-7.8096,38.4713,0.8392,41.0025,73.0325,0.5746
rn_per_10k,hosp_beds_per_1k,-1.0884,0.8408,0.1959,3.1762,1.5608,0.0421
rn_per_10k,nh_beds_per_65plus_ahrf,0.4489,1.0429,0.667,-5.824,4.8135,0.2266
rn_per_10k,poverty_rate,0.6869,0.4877,0.1594,-2.2318,0.6065,0.0002
rn_per_10k,bachelors_plus_share,0.8929,0.6729,0.1849,2.3012,0.4355,0.0
rn_per_10k,ipeds_rn_per_10k_lag1,0.0235,0.119,0.8432,0.2393,0.2887,0.4074
rn_per_10k,forgn_born_popn_pct_23,,,,-3.5505,1.3826,0.0104
lpn_per_10k,share_75plus,1.0177,1.2974,0.433,7.1413,1.0962,0.0
lpn_per_10k,share_65_74,-1.8789,0.9659,0.0521,-4.4769,0.7106,0.0
lpn_per_10k,population_growth_rate,-49.1287,13.5451,0.0003,-145.718,70.222,0.0383
lpn_per_10k,hosp_beds_per_1k,-2.5372,0.4368,0.0,0.9324,0.4843,0.0545
lpn_per_10k,nh_beds_per_65plus_ahrf,-3.4744,0.5165,0.0,8.2427,1.9219,0.0
lpn_per_10k,poverty_rate,0.0733,0.2613,0.7792,-0.1159,0.2544,0.6487
lpn_per_10k,bachelors_plus_share,0.7863,0.3156,0.0129,-0.4578,0.214,0.0327
lpn_per_10k,ipeds_lpn_per_10k_lag1,0.416,0.0554,0.0,0.6647,0.1392,0.0
lpn_per_10k,forgn_born_popn_pct_23,,,,-0.9965,0.5962,0.095
